"","submit_name","genus","species","scientificname","uri","bety_id","in_PFT"
"103","Simarouba amara","Simarouba","amara","Simarouba amara","http://www.tropicos.org/Name/29400090",50962,TRUE
"104","Spondias purpurea","Spondias","purpurea","Spondias purpurea","http://www.tropicos.org/Name/1300271",24450,TRUE
"105","Styrax ferrugineus","Styrax","ferrugineus","Styrax ferrugineus","http://www.tropicos.org/Name/30800015",1000020874,TRUE
"106","Styrax pohlii","Styrax","pohlii","Styrax pohlii","http://www.tropicos.org/Name/30800040",1000020875,TRUE
"107","Swietenia macrophylla","Swietenia","macrophylla","Swietenia macrophylla","http://www.tropicos.org/Name/20400346",1354,TRUE
"108","Symplocos lanceolata","Symplocos","lanceolata","Symplocos lanceolata","http://www.tropicos.org/Name/30900096",1000020876,TRUE
"109","Syzygium cumini","Syzygium","cumini","Syzygium cumini","http://www.tropicos.org/Name/22102113",36558,TRUE
"110","Tabebuia rosea","Tabebuia","rosea","Tabebuia rosea","http://www.tropicos.org/Name/3700648",2834,TRUE
"111","Tachigali versicolor","Tachigali","versicolor","Tachigali versicolor","http://www.tropicos.org/Name/13001906",50999,TRUE
"112","Tapirira guianensis","Tapirira","guianensis","Tapirira guianensis","http://www.tropicos.org/Name/1300281",1000014356,TRUE
"113","Terminalia amazonia","Terminalia","amazonia","Terminalia amazonia","http://www.tropicos.org/Name/8200207",1000014401,TRUE
"114","Trattinnickia aspera","Trattinnickia","aspera","Trattinnickia aspera","http://www.tropicos.org/Name/4700241",1000014798,TRUE
"115","Virola sebifera","Virola","sebifera","Virola sebifera","http://www.tropicos.org/Name/21800101",25996,TRUE
"116","Vismia billbergiana","Vismia","billbergiana","Vismia billbergiana","http://www.tropicos.org/Name/7800776",1000015206,TRUE
"117","Vochysia ferruginea","Vochysia","ferruginea","Vochysia ferruginea","http://www.tropicos.org/Name/34100141",1000015271,TRUE
"118","Vochysia thyrsoidea","Vochysia","thyrsoidea","Vochysia thyrsoidea","http://www.tropicos.org/Name/50184812",1000020878,TRUE
"119","Xylopia macrantha","Xylopia","macrantha","Xylopia macrantha","http://www.tropicos.org/Name/1600511",1000015453,TRUE
"120","Zanthoxylum panamense","Zanthoxylum","panamense","Zanthoxylum panamense","http://www.tropicos.org/Name/28100631",51088,TRUE
"121","Zuelania guidonia","Zuelania","guidonia","Zuelania guidonia","http://www.tropicos.org/Name/13200529",51093,TRUE
"122","Aspidosperma tomentosum","Aspidosperma","tomentosum","Aspidosperma tomentosum","http://www.tropicos.org/Name/1802208",49981,TRUE
"123","Baccaurea ramiflora","Baccaurea","ramiflora","Baccaurea ramiflora","http://www.tropicos.org/Name/50056948",14893,TRUE
"124","Barringtonia racemosa","Barringtonia","racemosa","Barringtonia racemosa","http://www.tropicos.org/Name/17900318",18401,TRUE
"125","Bischofia javanica","Bischofia","javanica","Bischofia javanica","http://www.tropicos.org/Name/12801991",22718,TRUE
"126","Canella winterana","Canella","winterana","Canella winterana","http://www.tropicos.org/Name/5600007",45817,TRUE
"127","Gnetum gnemon","Gnetum","gnemon","Gnetum gnemon","http://www.tropicos.org/Name/14300128",48766,TRUE
"128","Gossia bidwillii","Gossia","bidwillii","Gossia bidwillii","http://www.tropicos.org/Name/50238673",1000020889,TRUE
"129","Guapira","Guapira",NA,"Guapira","http://www.tropicos.org/Name/40017912",5467,TRUE
"130","Hibiscus","Hibiscus",NA,"Hibiscus","http://www.tropicos.org/Name/40025797",19743,TRUE
"131","Horsfieldia","Horsfieldia",NA,"Horsfieldia","http://www.tropicos.org/Name/40027709",24048,TRUE
"132","Illicium floridanum","Illicium","floridanum","Illicium floridanum","http://www.tropicos.org/Name/19300028",32425,TRUE
"133","Miconia","Miconia",NA,"Miconia","http://www.tropicos.org/Name/40018467",5736,TRUE
"134","Nephelium lappaceum","Nephelium","lappaceum","Nephelium lappaceum","http://www.tropicos.org/Name/50009191",21315,TRUE
"135","Ouratea hexasperma","Ouratea","hexasperma","Ouratea hexasperma","http://www.tropicos.org/Name/50044290",50687,TRUE
"136","Podocarpus latifolius","Podocarpus","latifolius","Podocarpus latifolius","http://www.tropicos.org/Name/25600041",1050,TRUE
"137","Podocarpus neriifolius","Podocarpus","neriifolius","Podocarpus neriifolius","http://www.tropicos.org/Name/25600056",33546,TRUE
"138","Trema orientalis","Trema","orientalis","Trema orientalis","http://www.tropicos.org/Name/33300010",3418,TRUE
"139","Simarouba glauca","Simarouba","glauca","Simarouba glauca","http://www.tropicos.org/Name/29400090",13388,TRUE
"140","Coursetia arborea","Coursetia","arborea","Coursetia arborea","http://www.tropicos.org/Name/13069025",50163,TRUE
"141","Capparis aristiguetae","Capparis","aristiguetae","Capparis aristiguetae","http://www.tropicos.org/Name/40000978",50069,TRUE
"142","Homalium moultonii","Homalium","moultonii","Homalium moultonii","http://www.tropicos.org/Name/40027071",1000020882,TRUE
"143","Nectandra purpurascens","Nectandra","purpurascens","Nectandra purpurascens","http://www.tropicos.org/Name/40025736",1000020884,TRUE
"144","Shorea faguetiana","Shorea","faguetiana","Shorea faguetiana","http://www.tropicos.org/Name/40036194",1000020885,TRUE
"145","Shorea mecistopteryx","Shorea","mecistopteryx","Shorea mecistopteryx","http://www.tropicos.org/Name/40036194",1000020886,TRUE
"146","Trichospermum pleiostigma","Trichospermum","pleiostigma","Trichospermum pleiostigma","http://www.tropicos.org/Name/40017818",1000020887,TRUE
"147","Acinodendron pohlianum","Miconia","leucocarpa","Miconia leucocarpa","http://www.tropicos.org/Name/20301140",1000020880,TRUE
"148","Antirrhea trichantha","Pittoniotis","trichantha","Pittoniotis trichantha","http://www.tropicos.org/Name/27903746",1000011255,TRUE
"149","Aspidosperma cruenta","Aspidosperma","desmanthum","Aspidosperma desmanthum","http://www.tropicos.org/Name/1800106",1000000969,TRUE
"150","Bauhinia variegate","Bauhinia","variegata","Bauhinia variegata","http://www.tropicos.org/Name/13027460",19251,TRUE
"151","Bursera simarouba","Bursera","simaruba","Bursera simaruba","http://www.tropicos.org/Name/4700231",227,TRUE
"152","Chrysophllum cainito","Chrysophyllum","cainito","Chrysophyllum cainito","http://www.tropicos.org/Name/28700679",28944,TRUE
"153","Hymenaea stignocarpa","Hymenaea","stigonocarpa","Hymenaea stigonocarpa","http://www.tropicos.org/Name/13020524",1000020879,TRUE
"154","Hymenea courbaril","Hymenaea","courbaril","Hymenaea courbaril","http://www.tropicos.org/Name/13005950",27020,TRUE
"155","Miconia pohliana","Miconia","leucocarpa","Miconia leucocarpa","http://www.tropicos.org/Name/20301140",1000020880,TRUE
"156","Myrsine ferruginea","Myrsine","coriacea","Myrsine coriacea subsp. coriacea","http://www.tropicos.org/Name/50096857",1000020881,TRUE
"157","Austromyrtus bidwillii","Gossia","bidwillii","Gossia bidwillii","http://www.tropicos.org/Name/50238673",1000020889,TRUE
"158","Eugenia ampullaria","Syzygium","ampullarium","Syzygium ampullarium","http://www.tropicos.org/Name/100263734",1000020892,TRUE
"159","Eugenia bankensis","Syzygium","bankense","Syzygium bankense","http://www.tropicos.org/Name/100263780",1000020893,TRUE
"160","Eugenia muelleri","Syzygium","muelleri","Syzygium muelleri","http://www.tropicos.org/Name/100264357",1000020894,TRUE
"161","Millettia cubitti","Millettia","cubittii","Millettia cubittii","http://www.tropicos.org/Name/13060114",1000020897,TRUE
"162","Piptadenia constricta","Piptadenia","obliqua","Piptadenia obliqua","http://www.tropicos.org/Name/13012488",1000020898,TRUE
"163","Syzygium latilimbum","Syzygium","megacarpum","Syzygium megacarpum","http://www.tropicos.org/Name/50309219",1000020899,TRUE
"164","Aegiphila lhotzkiana","Aegiphila","lhotzkiana","Aegiphila lhotzkiana","http://www.tropicos.org/Name/50214172",49913,TRUE
"165","Aegiphila sellowiana","Aegiphila","sellowiana","Aegiphila sellowiana","http://www.tropicos.org/Name/50214172",1000000238,TRUE
"166","Caesalpinia eriostachys","Caesalpinia","eriostachys","Caesalpinia eriostachys","http://www.tropicos.org/Name/13015217",1000001917,TRUE
"167","Capparis indica","Capparis","indica","Capparis indica","http://www.tropicos.org/Name/50298080",46256,TRUE
"168","Lonchocarpus muehlbergianus","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","http://www.tropicos.org/Name/100381684",1000020869,TRUE
"169","Sclerolobium paniculatum","Sclerolobium","paniculatum","Sclerolobium paniculatum","http://www.tropicos.org/Name/50317942",1000013036,TRUE
"170","Araucaria hunsteinii","Araucaria","hunsteinii","Araucaria hunsteinii","http://www.tropicos.org/Name/100268937",1000020888,TRUE
"171","Cochlospermum gillivraei","Cochlospermum","gillivraei","Cochlospermum gillivraei","http://www.tropicos.org/Name/100220654",1000020890,TRUE
"172","Cordia inermis","Cordia","inermis","Cordia inermis","http://www.tropicos.org/Name/50287395",1000020891,TRUE
"173","Drimys winteri","Drimys","winteri","Drimys winteri","http://www.tropicos.org/Name/34200011",40294,TRUE
"174","Harpullia cupanioides","Harpullia","cupanioides","Harpullia cupanioides","http://www.tropicos.org/Name/100398304",1000020895,TRUE
"175","Lonchocarpus dipteroneurus","Lonchocarpus","dipteroneurus","Lonchocarpus dipteroneurus","http://www.tropicos.org/Name/13022005",49882,TRUE
"176","Xerospermum laevigatum","Xerospermum","laevigatum","Xerospermum laevigatum","http://www.tropicos.org/Name/40027368",1000020900,TRUE
"177","Adansonia rubrostipa","Adansonia","rubrostipa","Adansonia rubrostipa","http://www.tropicos.org/Name/3900453",1000020903,TRUE
"178","Adansonia za","Adansonia","za","Adansonia za","http://www.tropicos.org/Name/3900455",1000020904,TRUE
"179","Alphitonia excelsa","Alphitonia","excelsa","Alphitonia excelsa","http://www.tropicos.org/Name/100286031",1000020905,TRUE
"180","Alphonsea monogyna","Alphonsea","monogyna","Alphonsea monogyna","http://www.tropicos.org/Name/1602752",1000020906,TRUE
"181","Amphipterygium adstringens","Amphipterygium","adstringens","Amphipterygium adstringens","http://www.tropicos.org/Name/16800004",1000020907,TRUE
"182","Amyxa pluricornis","Amyxa","pluricornis","Amyxa pluricornis","http://www.tropicos.org/Name/50296273",1000020908,TRUE
"183","Apoplanesia paniculata","Apoplanesia","paniculata","Apoplanesia paniculata","http://www.tropicos.org/Name/13047084",1000020909,TRUE
"184","Bourreria cumanensis","Bourreria","cumanensis","Bourreria cumanensis","http://www.tropicos.org/Name/4002683",1000020910,TRUE
"185","Brachychiton australis","Brachychiton","australis","Brachychiton australis","http://www.tropicos.org/Name/30401452",1000020911,TRUE
"186","Bursera heteresthes","Bursera","heteresthes","Bursera heteresthes","http://www.tropicos.org/Name/4700022",1000020912,TRUE
"187","Bursera instabilis","Bursera","instabilis","Bursera instabilis","http://www.tropicos.org/Name/4700598",1000020913,TRUE
"188","Caesalpinia sclerocarpa","Caesalpinia","sclerocarpa","Caesalpinia sclerocarpa","http://www.tropicos.org/Name/13003316",1000020914,TRUE
"189","Celtis philippensis","Celtis","philippensis","Celtis philippensis","http://www.tropicos.org/Name/33300057",1000020915,TRUE
"190","Celtis tetrandra","Celtis","tetrandra","Celtis tetrandra","http://www.tropicos.org/Name/33300179",1000020916,TRUE
"191","Cipadessa baccifera","Cipadessa","baccifera","Cipadessa baccifera","http://www.tropicos.org/Name/20400001",1000020917,TRUE
"192","Cleistanthus sumatranus","Cleistanthus","sumatranus","Cleistanthus sumatranus","http://www.tropicos.org/Name/50056473",1000020918,TRUE
"193","Cnidoscolus spinosus","Cnidoscolus","spinosus","Cnidoscolus spinosus","http://www.tropicos.org/Name/12805203",1000020919,TRUE
"194","Cordia elaeagnoides","Cordia","elaeagnoides","Cordia elaeagnoides","http://www.tropicos.org/Name/4002674",1000020920,TRUE
"195","Corymbia erythrophloia","Corymbia","erythrophloia","Corymbia erythrophloia","http://www.tropicos.org/Name/100172611",1000020921,TRUE
"196","Cosmibuena valerioi","Cosmibuena","valerioi","Cosmibuena valerioi","http://www.tropicos.org/Name/27909344",1000020922,TRUE
"197","Croton crassifolius","Croton","crassifolius","Croton crassifolius","http://www.tropicos.org/Name/50064912",1000020923,TRUE
"198","Diospyros hermaphroditica","Diospyros","hermaphroditica","Diospyros hermaphroditica","http://www.tropicos.org/Name/100324663",1000020924,TRUE
"199","Drimys insipida","Drimys","insipida","Drimys insipida","http://www.tropicos.org/Name/50108868",1000020925,TRUE
"200","Eriotheca pubescens","Eriotheca","pubescens","Eriotheca pubescens","http://www.tropicos.org/Name/3900479",1000020901,TRUE
"201","Esenbeckia nesiotica","Esenbeckia","nesiotica","Esenbeckia nesiotica","http://www.tropicos.org/Name/28100108",1000020926,TRUE
"202","Ficus concinna","Ficus","concinna","Ficus concinna","http://www.tropicos.org/Name/50132046",1000020927,TRUE
"203","Gnetum costatum","Gnetum","costatum","Gnetum costatum","http://www.tropicos.org/Name/14300144",1000020928,TRUE
"204","Guapira areolata","Guapira","areolata","Guapira areolata","http://www.tropicos.org/Name/22500644",1000020929,TRUE
"205","Heliocarpus pallidus","Heliocarpus","pallidus","Heliocarpus pallidus","http://www.tropicos.org/Name/32200607",1000020930,TRUE
"206","Homalanthus novoguineensis","Homalanthus","novoguineensis","Homalanthus novoguineensis","http://www.tropicos.org/Name/50250189",1000020931,TRUE
"207","Idiospermum australiense","Idiospermum","australiense","Idiospermum australiense","http://www.tropicos.org/Name/100355716",1000020932,TRUE
"208","Lasiococca comberi","Lasiococca","comberi","Lasiococca comberi","http://www.tropicos.org/Name/50049911",1000020933,TRUE
