"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"29","ceiba speciosa",1000020865,TRUE,"Ceiba speciosa",1000020865,TRUE,"iPlant_TNRS","1","(A. St.-Hil.) Ravenna","http://www.tropicos.org/Name/3900746",1
"30","chrysophyllum cainito",28944,TRUE,"Chrysophyllum cainito",28944,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/28700679",1
"31","chrysophyllum gonocarpum",1000002727,TRUE,"Chrysophyllum gonocarpum",1000002727,TRUE,"iPlant_TNRS","1","(Mart. & Eichler ex Miq.) Engl.","http://www.tropicos.org/Name/28700706",1
"32","cinnamomum camphora",335,TRUE,"Cinnamomum camphora",335,TRUE,"iPlant_TNRS","1","(L.) J. Presl","http://www.tropicos.org/Name/17805257",1
"33","clusia stenophylla",50136,TRUE,"Clusia stenophylla",50136,TRUE,"iPlant_TNRS","1","Standl.","http://www.tropicos.org/Name/7800243",1
"34","cochlospermum vitifolium",39878,TRUE,"Cochlospermum vitifolium",39878,TRUE,"iPlant_TNRS","1","(Willd.) Spreng.","http://www.tropicos.org/Name/8000014",1
"35","cordia alliodora",380,TRUE,"Cordia alliodora",380,TRUE,"iPlant_TNRS","1","(Ruiz & Pav.) Oken","http://www.tropicos.org/Name/4001123",1
"36","cordia cymosa",1000003422,TRUE,"Cordia cymosa",1000003422,TRUE,"iPlant_TNRS","1","(Donn. Sm.) Standl.","http://www.tropicos.org/Name/4001646",1
"37","cordia lasiocalyx",1000003442,TRUE,"Cordia lasiocalyx",1000003442,TRUE,"iPlant_TNRS","1","Pittier","http://www.tropicos.org/Name/4000309",1
"38","cordia lucidula",1000003446,TRUE,"Cordia lucidula",1000003446,TRUE,"iPlant_TNRS","1","I.M. Johnst.","http://www.tropicos.org/Name/4001221",1
"39","cordia nodosa",1000003459,TRUE,"Cordia nodosa",1000003459,TRUE,"iPlant_TNRS","1","Lam.","http://www.tropicos.org/Name/4001143",1
"40","cordia panamensis",1000003460,TRUE,"Cordia panamensis",1000003460,TRUE,"iPlant_TNRS","1","L. Riley","http://www.tropicos.org/Name/4001223",1
"41","cordia trichotoma",1000020866,TRUE,"Cordia trichotoma",1000020866,TRUE,"iPlant_TNRS","1","(Vell.) Arráb. ex Steud.","http://www.tropicos.org/Name/4002034",1
"42","crescentia alata",5807,TRUE,"Crescentia alata",5807,TRUE,"iPlant_TNRS","1","Kunth","http://www.tropicos.org/Name/3700258",1
"43","croton billbergianus",1000003773,TRUE,"Croton billbergianus",1000003773,TRUE,"iPlant_TNRS","1","Müll. Arg.","http://www.tropicos.org/Name/12800819",1
"44","cupania guatemalensis",1000003887,TRUE,"Cupania guatemalensis",1000003887,TRUE,"iPlant_TNRS","1","(Turcz.) Radlk.","http://www.tropicos.org/Name/28600609",1
"45","curatella americana",1000003910,TRUE,"Curatella americana",1000003910,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/10900124",1
"46","dendropanax latilobus",1000004162,TRUE,"Dendropanax latilobus",1000004162,TRUE,"iPlant_TNRS","1","M.J. Cannon & Cannon","http://www.tropicos.org/Name/2200747",1
"47","drimys granadensis",1000004518,TRUE,"Drimys granadensis",1000004518,TRUE,"iPlant_TNRS","1","L. f.","http://www.tropicos.org/Name/34200005",1
"48","enterolobium cyclocarpum",3762,TRUE,"Enterolobium cyclocarpum",3762,TRUE,"iPlant_TNRS","1","(Jacq.) Griseb.","http://www.tropicos.org/Name/13030083",1
"49","erythrina costaricensis",1000004822,TRUE,"Erythrina costaricensis",1000004822,TRUE,"iPlant_TNRS","1","Micheli","http://www.tropicos.org/Name/13009263",1
"50","erythroxylum suberosum",1000004882,TRUE,"Erythroxylum suberosum",1000004882,TRUE,"iPlant_TNRS","1","A. St.-Hil.","http://www.tropicos.org/Name/12500266",1
"51","eugenia nesiotica",1000005068,TRUE,"Eugenia nesiotica",1000005068,TRUE,"iPlant_TNRS","1","Standl.","http://www.tropicos.org/Name/22102097",1
"52","faramea occidentalis",31837,TRUE,"Faramea occidentalis",31837,TRUE,"iPlant_TNRS","1","(L.) A. Rich.","http://www.tropicos.org/Name/27902704",1
"53","ficus citrifolia",33851,TRUE,"Ficus citrifolia",33851,TRUE,"iPlant_TNRS","1","Mill.","http://www.tropicos.org/Name/21300460",1
"54","ficus insipida",1000005277,TRUE,"Ficus insipida",1000005277,TRUE,"iPlant_TNRS","1","Willd.","http://www.tropicos.org/Name/21300606",1
