Species,ksat,kl,P50,ax,Lat,Long,Ref,SLA,WD
bursera instabilis,15.4,NaN,-2.54,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.4
caesalpinia eriostachys,4.95,NaN,-2.07,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.85
caesalpinia sclerocarpa,2.6,NaN,-2.51,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.71
cordia alliodora,1.21,NaN,-3.18,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.63
cordia elaeagnoides,1.59,NaN,-1.15,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.54
esenbeckia nesiotica,0.43,NaN,-4.74,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,1.06
gliricidia sepium,14.82,NaN,-0.85,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.64
heliocarpus pallidus,9.67,NaN,-0.66,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.55
piptadenia constricta,1.53,NaN,-1.94,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.73
eucalyptus miniata,3.13,0.00064,NaN,NaN,-12.433729,130.923491,Prior & Eamus 2000,5.688529308,0.897666667
eucalyptus tetrodonta,2.5,0.00059,-6.27,NaN,-12.433729,130.923491,Prior & Eamus 2000,4.606099692,0.922
corymbia erythrophloia,NaN,NaN,-1.64,NaN,-20.1,146.8833,Rice et al. 2004,NaN,0.895
aspidosperma desmanthum,NaN,0.0002844,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.7
chrysophyllum cainito,NaN,0.0006084,NaN,NaN,9.166666667,-79.85,Santiago et al. 2004,NaN,0.61
cordia alliodora,NaN,0.0011088,NaN,NaN,9.166666667,-79.85,Santiago et al. 2004,NaN,0.47
dussia munda,NaN,0.0006732,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.53
ficus insipida,NaN,0.0022158,NaN,NaN,9.166666667,-79.85,Santiago et al. 2004,NaN,0.34
guatteria dumetorum,NaN,0.0006912,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.42
humiriastrum diguense,NaN,0.0006138,NaN,NaN,9.15,-79.85,Santiago et al. 2004,NaN,0.58
