"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
52374,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,39977,35.91,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,35.91,NA
52379,782,1226,2434,"Observations",1992-07-02 04:00:00,NA,NA,51213,36.98,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,36.98,NA
52384,782,1226,2434,"Observations",1993-08-26 04:00:00,NA,NA,3135,37.24,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,37.24,NA
52389,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,13945,38.48,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,38.48,NA
52394,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,46308,38.63,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,38.63,NA
2000000058,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,1000005277,8.13,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,8.13,NA
2000000063,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,11040,11.8,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,11.8,NA
2000000068,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,1000005277,7.8,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,7.8,NA
2000000073,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,1000005277,8.57,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,8.57,NA
2000000078,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,11040,13.2,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,13.2,NA
2000000088,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,1000011409,12.1,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,12.1,NA
2000000098,2000000017,2000000008,2000000003,"Direct observation",2013-01-01 06:00:00,NA,NA,28944,19.7,NA,NA,NA,"SLA",1,-79.542955,8.994504,NA,NA,19.7,NA
