"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","doi","species","species_id"
"18",6.083333333,116.55,"Af","tropical",272.4,"10.1111/1365-2435.12424","Podocarpus gibbsii",1000021027
"19",6.083333333,116.55,"Af","tropical",311.7,"10.1111/1365-2435.12424","Podocarpus gibbsii",1000021027
"20",6.083333333,116.55,"Af","tropical",256,"10.1111/1365-2435.12424","Podocarpus gibbsii",1000021027
"21",6.083333333,116.55,"Af","tropical",263.4,"10.1111/1365-2435.12424","Dacrydium pectinatum",1000021017
"22",6.083333333,116.55,"Af","tropical",237.8,"10.1111/1365-2435.12424","Dacrydium pectinatum",1000021017
"23",6.083333333,116.55,"Af","tropical",281.6,"10.1111/1365-2435.12424","Dacrydium pectinatum",1000021017
"24",6.083333333,116.55,"Af","tropical",261.3,"10.1111/1365-2435.12424","Dacrydium pectinatum",1000021017
"25",6.083333333,116.55,"Af","tropical",340.5,"10.1111/1365-2435.12424","Quercus lowii",1000021028
"26",6.083333333,116.55,"Af","tropical",327.4,"10.1111/1365-2435.12424","Quercus lowii",1000021028
"27",6.083333333,116.55,"Af","tropical",367.1,"10.1111/1365-2435.12424","Quercus lowii",1000021028
"28",6.083333333,116.55,"Af","tropical",287.1,"10.1111/1365-2435.12424","Quercus lowii",1000021028
"29",6.083333333,116.55,"Af","tropical",198.7,"10.1111/1365-2435.12424","Syzygium subdecussatum",1000021033
"30",6.083333333,116.55,"Af","tropical",214.4,"10.1111/1365-2435.12424","Syzygium subdecussatum",1000021033
"31",6.083333333,116.55,"Af","tropical",277.1,"10.1111/1365-2435.12424","Syzygium subdecussatum",1000021033
"32",6.083333333,116.55,"Af","tropical",244.2,"10.1111/1365-2435.12424","Syzygium subdecussatum",1000021033
"33",6.083333333,116.55,"Af","tropical",690.1,"10.1111/1365-2435.12424","Tetractomia tetrandra",1000021035
"34",6.083333333,116.55,"Af","tropical",509.8,"10.1111/1365-2435.12424","Tetractomia tetrandra",1000021035
"35",6.083333333,116.55,"Af","tropical",505.7,"10.1111/1365-2435.12424","Tetractomia tetrandra",1000021035
"36",6.083333333,116.55,"Af","tropical",656.8,"10.1111/1365-2435.12424","Tetractomia tetrandra",1000021035
"37",6.083333333,116.55,"Af","tropical",443.4,"10.1111/1365-2435.12424","Syzygium castaneum",1000021029
