"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","species","species_id","citation_id"
"1",6.083333333,116.55,"Af","tropical",373.2,"Tristaniopsis elliptica",1000021036,1000000174
"2",6.083333333,116.55,"Af","tropical",347.1,"Tristaniopsis elliptica",1000021036,1000000174
"3",6.083333333,116.55,"Af","tropical",468.9,"Tristaniopsis elliptica",1000021036,1000000174
"4",6.083333333,116.55,"Af","tropical",292.9,"Tristaniopsis elliptica",1000021036,1000000174
"5",6.083333333,116.55,"Af","tropical",261.8,"Agathis kinabaluensis",1000021012,1000000174
"6",6.083333333,116.55,"Af","tropical",263.5,"Agathis kinabaluensis",1000021012,1000000174
"7",6.083333333,116.55,"Af","tropical",273.4,"Agathis kinabaluensis",1000021012,1000000174
"8",6.083333333,116.55,"Af","tropical",245.4,"Agathis kinabaluensis",1000021012,1000000174
"9",6.083333333,116.55,"Af","tropical",320.2,"Xanthophyllum tenue",1000021038,1000000174
"10",6.083333333,116.55,"Af","tropical",425.2,"Xanthophyllum tenue",1000021038,1000000174
"11",6.083333333,116.55,"Af","tropical",306.4,"Xanthophyllum tenue",1000021038,1000000174
"12",6.083333333,116.55,"Af","tropical",321.6,"Xanthophyllum tenue",1000021038,1000000174
"13",6.083333333,116.55,"Af","tropical",565.4,"Weinmannia blumei",1000021037,1000000174
"14",6.083333333,116.55,"Af","tropical",571.4,"Weinmannia blumei",1000021037,1000000174
"15",6.083333333,116.55,"Af","tropical",512.1,"Weinmannia blumei",1000021037,1000000174
"16",6.083333333,116.55,"Af","tropical",557.6,"Weinmannia blumei",1000021037,1000000174
"17",6.083333333,116.55,"Af","tropical",259.7,"Podocarpus gibbsii",1000021027,1000000174
"18",6.083333333,116.55,"Af","tropical",272.4,"Podocarpus gibbsii",1000021027,1000000174
"19",6.083333333,116.55,"Af","tropical",311.7,"Podocarpus gibbsii",1000021027,1000000174
"20",6.083333333,116.55,"Af","tropical",256,"Podocarpus gibbsii",1000021027,1000000174
"21",6.083333333,116.55,"Af","tropical",263.4,"Dacrydium pectinatum",1000021017,1000000174
"22",6.083333333,116.55,"Af","tropical",237.8,"Dacrydium pectinatum",1000021017,1000000174
"23",6.083333333,116.55,"Af","tropical",281.6,"Dacrydium pectinatum",1000021017,1000000174
"24",6.083333333,116.55,"Af","tropical",261.3,"Dacrydium pectinatum",1000021017,1000000174
"25",6.083333333,116.55,"Af","tropical",340.5,"Quercus lowii",1000021028,1000000174
"26",6.083333333,116.55,"Af","tropical",327.4,"Quercus lowii",1000021028,1000000174
