"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case","use","proposed_bety_name","reviewed","bety_name"
"57","Hedyosmum mexicanum",1000006073,TRUE,"Hedyosmum mexicanum",1000006073,TRUE,"iPlant_TNRS",1,"C. Cordem.","http://www.tropicos.org/Name/7300015",1,"submit","Hedyosmum mexicanum",TRUE,"Hedyosmum mexicanum"
"58","Hevea brasiliensis",19340,TRUE,"Hevea brasiliensis",19340,TRUE,"iPlant_TNRS",1,"(Willd. ex A. Juss.) Müll. Arg.","http://www.tropicos.org/Name/12801400",1,"submit","Hevea brasiliensis",TRUE,"Hevea brasiliensis"
"59","Holocalyx balansae",1000020867,TRUE,"Holocalyx balansae",1000020867,TRUE,"iPlant_TNRS",1,"Micheli","http://www.tropicos.org/Name/13020477",1,"submit","Holocalyx balansae",TRUE,"Holocalyx balansae"
"60","Humiriastrum diguense",1000006376,TRUE,"Humiriastrum diguense",1000006376,TRUE,"iPlant_TNRS",1,"(Cuatrec.) Cuatrec.","http://www.tropicos.org/Name/15800034",1,"submit","Humiriastrum diguense",TRUE,"Humiriastrum diguense"
"61","Hymenaea courbaril",27020,TRUE,"Hymenaea courbaril",27020,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/13005950",1,"submit","Hymenaea courbaril",TRUE,"Hymenaea courbaril"
"62","Hymenaea martiana",1000020868,TRUE,"Hymenaea martiana",1000020868,TRUE,"iPlant_TNRS",1,"Hayne","http://www.tropicos.org/Name/13020516",1,"submit","Hymenaea martiana",TRUE,"Hymenaea martiana"
"63","Hymenaea stigonocarpa",1000020879,TRUE,"Hymenaea stigonocarpa",1000020879,TRUE,"iPlant_TNRS",1,"Mart. ex Hayne","http://www.tropicos.org/Name/13020524",1,"submit","Hymenaea stigonocarpa",TRUE,"Hymenaea stigonocarpa"
"64","Inga vera",704,TRUE,"Inga vera",704,TRUE,"iPlant_TNRS",1,"Willd.","http://www.tropicos.org/Name/13021418",1,"submit","Inga vera",TRUE,"Inga vera"
"65","Ipomoea wolcottiana",1000006740,TRUE,"Ipomoea wolcottiana",1000006740,TRUE,"iPlant_TNRS",1,"Rose","http://www.tropicos.org/Name/8502130",1,"submit","Ipomoea wolcottiana",TRUE,"Ipomoea wolcottiana"
"66","Kielmeyera coriacea",50498,TRUE,"Kielmeyera coriacea",50498,TRUE,"iPlant_TNRS",1,"Mart. & Zucc.","http://www.tropicos.org/Name/7801213",1,"submit","Kielmeyera coriacea",TRUE,"Kielmeyera coriacea"
"67","Kleinhovia hospita",44340,TRUE,"Kleinhovia hospita",44340,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/30401419",1,"submit","Kleinhovia hospita",TRUE,"Kleinhovia hospita"
"68","Lagerstroemia tomentosa",1000007008,TRUE,"Lagerstroemia tomentosa",1000007008,TRUE,"iPlant_TNRS",1,"C. Presl","http://www.tropicos.org/Name/19200388",1,"submit","Lagerstroemia tomentosa",TRUE,"Lagerstroemia tomentosa"
"69","Laguncularia racemosa",746,TRUE,"Laguncularia racemosa",746,TRUE,"iPlant_TNRS",1,"(L.) C.F. Gaertn.","http://www.tropicos.org/Name/8200077",1,"submit","Laguncularia racemosa",TRUE,"Laguncularia racemosa"
"70","Luehea seemannii",50567,TRUE,"Luehea seemannii",50567,TRUE,"iPlant_TNRS",1,"Triana & Planch.","http://www.tropicos.org/Name/32200236",1,"submit","Luehea seemannii",TRUE,"Luehea seemannii"
"71","Maclura tinctoria",39582,TRUE,"Maclura tinctoria",39582,TRUE,"iPlant_TNRS",1,"(L.) D. Don ex Steud.","http://www.tropicos.org/Name/21300516",1,"submit","Maclura tinctoria",TRUE,"Maclura tinctoria"
"72","Manilkara bidentata",43171,TRUE,"Manilkara bidentata",43171,TRUE,"iPlant_TNRS",1,"(A. DC.) A. Chev.","http://www.tropicos.org/Name/28700368",1,"submit","Manilkara bidentata",TRUE,"Manilkara bidentata"
"73","Manilkara chicle",1000007816,TRUE,"Manilkara chicle",1000007816,TRUE,"iPlant_TNRS",1,"(Pittier) Gilly","http://www.tropicos.org/Name/28700413",1,"submit","Manilkara chicle",TRUE,"Manilkara chicle"
"74","Marila laxiflora",1000007859,TRUE,"Marila laxiflora",1000007859,TRUE,"iPlant_TNRS",1,"Rusby","http://www.tropicos.org/Name/7800371",1,"submit","Marila laxiflora",TRUE,"Marila laxiflora"
"75","Miconia argentea",50624,TRUE,"Miconia argentea",50624,TRUE,"iPlant_TNRS",1,"(Sw.) DC.","http://www.tropicos.org/Name/20302666",1,"submit","Miconia argentea",TRUE,"Miconia argentea"
"76","Miconia cuspidata",1000008327,TRUE,"Miconia cuspidata",1000008327,TRUE,"iPlant_TNRS",1,"Mart. ex Naudin","http://www.tropicos.org/Name/20301030",1,"submit","Miconia cuspidata",TRUE,"Miconia cuspidata"
"77","Miconia minutiflora",1000008488,TRUE,"Miconia minutiflora",1000008488,TRUE,"iPlant_TNRS",1,"(Bonpl.) DC.","http://www.tropicos.org/Name/20300169",1,"submit","Miconia minutiflora",TRUE,"Miconia minutiflora"
