"","studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"102","Peri0000","x1","","","a1","","","","","","",NA,"",NA,"","","","f","","x1","","","","","","m3","","","","m3","","m3","m3","m3","m3","",NA,"","","","","","x1","x1","","","x1","x1"
"103","Peri2008","x1","","","a1","","","","","","",NA,"",NA,"","","","f","","x1","","","","","","m3","","","","m3","","m3","m3","m3","m3","",NA,"","","","","","x1","x1","","","x1","x1"
"104","Peri2011","x1","","","a1","","","","","","",NA,"",NA,"","","","f","","x1","","","","","","m3","","","","m3","","m3","m3","m3","m3","",NA,"","","","","","x1","x1","","","x1","x1"
"105","Petritan2009","?","l2","","a1,x1,e1","","","","","","",NA,"",NA,"?","","","f","","?","?","","","","?","","","","","","","","","","","","a1,x1","m3,a1,x1","","","","","","","","","",""
"106","Poorter1999","","l4","?","a1","","","","","","",NA,"",NA,"","","","?","","?","","d4","","f","?","m3","","","","m3","m3","m3","","","m3","m3","a1","m3,a1","?","","","","","","","","",""
"107","Portsmuth2005","","","","a3,a5,x1","","","","","","",NA,"",NA,"","","","","","?","","?","","","","m4,x6","","","","m4","m4","","m4","m4","m4","m4","","a3,a4,m4,x1","","","","","m4","","","","","m4"
"108","Portsmuth2006","","?","","a1,x6","","","","","","",NA,"",NA,"","","","","","?","","?","","","","m4,x6","","","","m4","m4","","m4","m4","m4","m4","","a1,m4,x6","","","","","m4","","","","",""
"109","Reid2004","?","","?","e1,a1,a4,x1","","?","","","","",NA,"",NA,"","?","","","","?","?","","?","?","","m4,x1","","","","","","","","","","","","","","","","","","","","","",""
"110","Ribeiro2011","","","","","","","","","","",NA,"",NA,"","","","","","?","","","v3","","","m3,x1","","","","m4","","","","","","","","","m4","","","","","","","","",""
"111","Roberts2003","","","","a4","","","","","","",NA,"",NA,"","","","","","d1,f","d1,f","","d3","x2","","m4,x1","","","","e2","","e2","","","","","","","","","","","","","","","",""
"112","Roberts2004","","","","a4","","","","","","",NA,"",NA,"","","","","","d1,f","d1,f","","d3","x2","","m4,x1","","","","e2","","e2","","","","","","","","","","","","","","","",""
"113","Rodriguez2003","","","","","","j","","","","",NA,"",NA,"","","","","","c,d7,p3","","","d3","","","m4,x1","","","m4","m4","","m4","m4","m4","","","","","","","","","","","","","",""
"114","Roeh1997","","","","a4","","?","?","","","",NA,"",NA,"","","","","","?","","","?","","?","?","","","","","","","","","","","","","","","","","","","","","",""
"115","Roth2007","","","?","a5","","","","","","",NA,"",NA,"","","","","","?","?","?","?","?","","m3,x1","","","?","?","","?","","?","","","","?","","","","","","","","","",""
"116","Saito1981","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","j,m4,e2","m4","m4","","","","","","","","","","","","","","","",""
"117","Salazar2010","","","","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
