"","X","ksat","kl","P50","ax","SLA","WD","species","citation_id","site_id"
"132",132,"NA","0.000162","-1.6","63.33333333","NA","0.4","Ficus citrifolia",1000000060,1000005005
"133",133,"NA","6.3e-05","-1.6","34.54545455","NA","0.413571429","Prioria copaifera",1000000060,1000005005
"134",134,"2.1","0.00114","-1","95","NA","0.19","Ochroma pyramidale",1000000061,1000005005
"135",135,"1.6","0.000515","-1","95","7.762471166","0.25","Pseudobombax septenatum",1000000061,1000005005
"136",136,"NA","NA","-1.56","NA","10.83926914","0.39","Anacardium excelsum",1000000079,2000000002
"137",137,"NA","NA","-3","NA","NA","0.52","Cordia alliodora",1000000079,2000000002
"138",138,"NA","NA","-1.66","NA","NA","0.29","Ficus insipida",1000000079,2000000002
"139",139,"NA","NA","-1.68","NA","NA","0.28","Schefflera morototoni",1000000079,2000000002
"140",140,"1.556485","NA","NA","NA","NA","NA","Aspidosperma cruenta",1000000124,2000000002
"141",141,"NA","NA","-2.1","NA","NA","0.655","Chrysophyllum cainito",1000000124,2000000002
"142",142,"NA","NA","-1.9","NA","NA","0.376555556","Ficus insipida",1000000124,2000000002
"143",143,"8.761506","NA","NA","NA","9.66050879","0.417","Luehea seemannii",1000000124,2000000002
"144",144,"NA","NA","-2.7","NA","NA","0.872933333","Manilkara bidentata",1000000124,2000000002
"145",145,"NA","NA","-1.7","NA","NA","0.452333333","Protium panamense",1000000124,2000000002
"146",146,"NA","NA","-1.6","NA","NA","0.521","Tachigali versicolor",1000000124,2000000002
"147",147,"NA","NA","-1.8","NA","NA","0.457","Tapirira guianensis",1000000124,2000000002
"148",148,"NA","NA","-1.1","NA","NA","0.424","Trattinnickia aspera",1000000124,2000000002
"149",149,"NA","NA","-1","NA","NA","0.410166667","Vochysia ferruginea",1000000124,2000000002
"150",150,"5.36","NA","-0.96","NA","NA","0.48","Amphipterygium adstringens",1000000125,1000000346
"151",151,"0.99","NA","-4.61","NA","NA","0.56","Apoplanesia paniculata",1000000125,1000000346
"152",152,"10.24","NA","-1.36","NA","NA","0.4","Bursera heteresthes",1000000125,1000000346
"153",153,"15.4","NA","-2.54","NA","NA","0.4","Bursera instabilis",1000000125,1000000346
"154",154,"4.95","NA","-2.07","NA","NA","0.85","Caesalpinia eriostachys",1000000125,1000000346
"155",155,"2.6","NA","-2.51","NA","NA","0.71","Caesalpinia sclerocarpa",1000000125,1000000346
"156",156,"1.21","NA","-3.18","NA","NA","0.63","Cordia alliodora",1000000125,1000000346
"157",157,"1.59","NA","-1.15","NA","NA","0.54","Cordia elaeagnoides",1000000125,1000000346
"158",158,"0.43","NA","-4.74","NA","NA","1.06","Esenbeckia nesiotica",1000000125,1000000346
"159",159,"14.82","NA","-0.85","NA","NA","0.64","Gliricidia sepium",1000000125,1000000346
"160",160,"9.67","NA","-0.66","NA","NA","0.55","Heliocarpus pallidus",1000000125,1000000346
"161",161,"1.53","NA","-1.94","NA","NA","0.73","Piptadenia constricta",1000000125,1000000346
"162",162,"NA","0.0002844","NA","NA","NA","0.7","Aspidosperma desmanthum",1000000126,1000005010
"163",163,"NA","0.0006084","NA","NA","NA","0.61","Chrysophyllum cainito",1000000126,2000000002
"164",164,"NA","0.0011088","NA","NA","NA","0.47","Cordia alliodora",1000000126,2000000002
"165",165,"NA","0.0006732","NA","NA","NA","0.53","Dussia munda",1000000126,1000005010
"166",166,"NA","0.0022158","NA","NA","NA","0.34","Ficus insipida",1000000126,2000000002
"167",167,"NA","0.0006912","NA","NA","NA","0.42","Guatteria dumetorum",1000000126,1000005010
"168",168,"NA","0.0006138","NA","NA","NA","0.58","Humiriastrum diguense",1000000126,1000005010
"169",169,"NA","0.0020736","NA","NA","9.66050879","0.33","Luehea seemannii",1000000126,2000000002
"170",170,"NA","0.000567","NA","NA","NA","0.61","Manilkara bidentata",1000000126,1000005010
"171",171,"NA","0.0005382","NA","NA","NA","0.48","Marila laxiflora",1000000126,1000005010
"172",172,"NA","0.001458","NA","NA","NA","0.5","Miconia minutiflora",1000000126,1000005010
"173",173,"NA","0.0010602","NA","NA","NA","0.55","Nectandra purpurascens",1000000126,1000005010
"174",174,"NA","0.0008244","NA","NA","NA","0.58","Ocotea insularis",1000000126,1000005010
"175",175,"NA","0.000711","NA","NA","8.511380382","0.43","Poulsenia armata",1000000126,1000005010
"176",176,"NA","0.0008982","NA","NA","NA","0.45","Pourouma bicolor",1000000126,1000005010
"177",177,"NA","0.0018432","NA","NA","NA","0.41","Simarouba amara",1000000126,1000005010
"178",178,"NA","0.001116","NA","NA","NA","0.43","Tapirira guianensis",1000000126,1000005010
"179",179,"NA","0.000774","NA","NA","NA","0.57","Trattinnickia aspera",1000000126,1000005010
"180",180,"NA","0.0010944","NA","NA","NA","0.5","Virola sebifera",1000000126,1000005010
"181",181,"NA","0.0016506","NA","NA","NA","0.35","Vochysia ferruginea",1000000126,1000005010
"182",182,"1.56","0.000398","NA","NA","6.002","0.6","Aspidosperma tomentosum",1000000127,1000025739
"183",183,"4.02","0.000915","NA","NA","7.45","0.545","Aspidosperma tomentosum",1000000127,1000025739
"184",184,"3.55","0.000909","NA","NA","7.86","0.497","Aspidosperma tomentosum",1000000127,1000025739
"185",185,"2.67","0.000521","NA","NA","6.002","0.6","Eriotheca pubescens",1000000127,1000025739
"186",186,"4.33","0.000932","NA","NA","7.452","0.54","Eriotheca pubescens",1000000127,1000025739
"187",187,"4.21","0.001408","NA","NA","7.865","0.497","Eriotheca pubescens",1000000127,1000025739
"188",188,"8.1","NA","NA","NA","10.123","0.46","Guapira areolata",1000000127,1000025739
"189",189,"2.56","0.000845","NA","NA","7.467","0.498","Guapira noxia",1000000127,1000025739
"190",190,"3.7","0.00111","NA","NA","8.108","0.496","Guapira noxia",1000000127,1000025739
"191",191,"4.8","0.0012","NA","NA","8.105","0.497","Guapira noxia",1000000127,1000025739
"192",192,"7.7","0.0029","NA","NA","10.016","0.467","Guarea guidonia",1000000127,1000025739
"193",193,"7.4","0.0032","NA","NA","9.92","0.44","Protium",1000000127,1000025739
"194",194,"0.99","0.000523","NA","NA","5.747","0.606","Qualea grandiflora",1000000127,1000025739
"195",195,"2.22","0.000901","NA","NA","7.2","0.52","Qualea grandiflora",1000000127,1000025739
"196",196,"2.05","0.000754","NA","NA","6.15","0.57","Qualea grandiflora",1000000127,1000025739
"197",197,"NA","0.000925","-1.48","55.07246377","NA","0.39","Curatella americana",1000000128,1000026738
"198",198,"0.41","9.95e-05","-3.82","NA","NA","NA","Bourreria cumanensis",1000000130,1000025744
"199",199,"0.105","1.58e-05","-2.45","10.55555556","6.918309709","NA","Capparis aristiguetae",1000000130,1000025744
"200",200,"1.26","9.19e-05","-2.42","10.46831956","26.91534804","NA","Coursetia arborea",1000000130,1000025744
"201",201,"0.98","9.63e-05","-1.77","11.37724551","23.98832919","NA","Lonchocarpus dipteroneurus",1000000130,1000025744
"202",202,"0.14","3.47e-05","-2.39","10.0795756","6.760829754","0.88","Morisonia americana",1000000130,1000025744
"203",203,"0.54","7.06e-05","-1.65","8.71559633","15.13561248","0.6835","Pithecellobium dulce",1000000130,1000025744
"204",204,"NA","NA","-6.3","NA","NA","0.897714286","Rhizophora mangle",1000000081,1000026717
"205",205,"1.3","NA","-4.8","NA","NA","0.82","Cassipourea guianensis",1000000081,1000005005
"206",206,"NA","NA","-0.23","NA","NA","0.95","Canella winterana",1000000063,1000026717
"207",207,"NA","NA","-1.3","16.53611836","NA","0.5005","Galbulimima baccata",1000000063,1000026718
"208",208,"NA","NA","-1.741","55.47445255","NA","NA","Hedyosmum goudotianum",1000000063,1000026719
"209",209,"NA","NA","-0.789","NA","NA","NA","Hedyosmum mexicanum",1000000063,1000026720
"210",210,"NA","NA","-0.615","19.48717949","NA","0.65","Idiospermum australiense",1000000063,1000026721
"211",211,"NA","NA","-3.28","NA","NA","NA","Illicium floridanum",1000000063,1000026722
"212",212,"NA","NA","-1.253","15.66364386","NA","NA","Trimenia neocaledonica",1000000063,1000026723
"213",213,"NA","NA","-4.68","19.79166667","NA","0.82","Cassipourea elliptica",1000000131,1000005005
"214",214,"NA","NA","-1.38","82.60869565","NA","0.4559375","Schefflera morototoni",1000000132,1000005005
"215",215,"NA","NA","-1.91","NA","NA","0.383333333","Agathis borneensis",1000000133,1000026729
