"","ksat","kl","P50","ax","lat","lon","SLA","WD","species","citation_id"
"149",15.4,NA,-2.54,NA,19.5,-105.05,NA,0.4,"Bursera instabilis",1000000125
"150",4.95,NA,-2.07,NA,19.5,-105.05,NA,0.85,"Caesalpinia eriostachys",1000000125
"151",2.6,NA,-2.51,NA,19.5,-105.05,NA,0.71,"Caesalpinia sclerocarpa",1000000125
"152",1.21,NA,-3.18,NA,19.5,-105.05,NA,0.63,"Cordia alliodora",1000000125
"153",1.59,NA,-1.15,NA,19.5,-105.05,NA,0.54,"Cordia elaeagnoides",1000000125
"154",0.43,NA,-4.74,NA,19.5,-105.05,NA,1.06,"Esenbeckia nesiotica",1000000125
"155",14.82,NA,-0.85,NA,19.5,-105.05,NA,0.64,"Gliricidia sepium",1000000125
"156",9.67,NA,-0.66,NA,19.5,-105.05,NA,0.55,"Heliocarpus pallidus",1000000125
"157",1.53,NA,-1.94,NA,19.5,-105.05,NA,0.73,"Piptadenia constricta",1000000125
"158",NA,0.0002844,NA,NA,9.15,-79.85,NA,0.7,"Aspidosperma desmanthum",1000000126
"159",NA,0.0006084,NA,NA,9.166666667,-79.85,NA,0.61,"Chrysophyllum cainito",1000000126
"160",NA,0.0011088,NA,NA,9.166666667,-79.85,NA,0.47,"Cordia alliodora",1000000126
"161",NA,0.0006732,NA,NA,9.15,-79.85,NA,0.53,"Dussia munda",1000000126
"162",NA,0.0022158,NA,NA,9.166666667,-79.85,NA,0.34,"Ficus insipida",1000000126
"163",NA,0.0006912,NA,NA,9.15,-79.85,NA,0.42,"Guatteria dumetorum",1000000126
"164",NA,0.0006138,NA,NA,9.15,-79.85,NA,0.58,"Humiriastrum diguense",1000000126
"165",NA,0.0020736,NA,NA,9.166666667,-79.85,9.66050879,0.33,"Luehea seemannii",1000000126
"166",NA,0.000567,NA,NA,9.15,-79.85,NA,0.61,"Manilkara bidentata",1000000126
"167",NA,0.0005382,NA,NA,9.15,-79.85,NA,0.48,"Marila laxiflora",1000000126
"168",NA,0.001458,NA,NA,9.15,-79.85,NA,0.5,"Miconia minutiflora",1000000126
"169",NA,0.0010602,NA,NA,9.15,-79.85,NA,0.55,"Nectandra purpurascens",1000000126
"170",NA,0.0008244,NA,NA,9.15,-79.85,NA,0.58,"Ocotea insularis",1000000126
"171",NA,0.000711,NA,NA,9.15,-79.85,8.511380382,0.43,"Poulsenia armata",1000000126
"172",NA,0.0008982,NA,NA,9.15,-79.85,NA,0.45,"Pourouma bicolor",1000000126
"173",NA,0.0018432,NA,NA,9.15,-79.85,NA,0.41,"Simarouba amara",1000000126
"174",NA,0.001116,NA,NA,9.15,-79.85,NA,0.43,"Tapirira guianensis",1000000126
"175",NA,0.000774,NA,NA,9.15,-79.85,NA,0.57,"Trattinnickia aspera",1000000126
"176",NA,0.0010944,NA,NA,9.15,-79.85,NA,0.5,"Virola sebifera",1000000126
"177",NA,0.0016506,NA,NA,9.15,-79.85,NA,0.35,"Vochysia ferruginea",1000000126
"178",1.56,0.000398,NA,NA,-15.93333333,-47.88333333,6.002,0.6,"Aspidosperma tomentosum",1000000127
"179",4.02,0.000915,NA,NA,-15.93333333,-47.88333333,7.45,0.545,"Aspidosperma tomentosum",1000000127
"180",3.55,0.000909,NA,NA,-15.93333333,-47.88333333,7.86,0.497,"Aspidosperma tomentosum",1000000127
"181",2.67,0.000521,NA,NA,-15.93333333,-47.88333333,6.002,0.6,"Eriotheca pubescens",1000000127
"182",4.33,0.000932,NA,NA,-15.93333333,-47.88333333,7.452,0.54,"Eriotheca pubescens",1000000127
"183",4.21,0.001408,NA,NA,-15.93333333,-47.88333333,7.865,0.497,"Eriotheca pubescens",1000000127
"184",8.1,NA,NA,NA,-15.93333333,-47.88333333,10.123,0.46,"Guapira areolata",1000000127
"185",2.56,0.000845,NA,NA,-15.93333333,-47.88333333,7.467,0.498,"Guapira noxia",1000000127
"186",3.7,0.00111,NA,NA,-15.93333333,-47.88333333,8.108,0.496,"Guapira noxia",1000000127
"187",4.8,0.0012,NA,NA,-15.93333333,-47.88333333,8.105,0.497,"Guapira noxia",1000000127
"188",7.7,0.0029,NA,NA,-15.93333333,-47.88333333,10.016,0.467,"Guarea guidonia",1000000127
"189",7.4,0.0032,NA,NA,-15.93333333,-47.88333333,9.92,0.44,"Protium",1000000127
"190",0.99,0.000523,NA,NA,-15.93333333,-47.88333333,5.747,0.606,"Qualea grandiflora",1000000127
"191",2.22,0.000901,NA,NA,-15.93333333,-47.88333333,7.2,0.52,"Qualea grandiflora",1000000127
"192",2.05,0.000754,NA,NA,-15.93333333,-47.88333333,6.15,0.57,"Qualea grandiflora",1000000127
"193",NA,0.000925,-1.48,55.07246377,9.916666667,-66.91666667,NA,0.39,"Curatella americana",1000000128
"194",0.41,9.95e-05,-3.82,NA,10.25,-67.05,NA,NA,"Bourreria cumanensis",1000000130
"195",0.105,1.58e-05,-2.45,10.55555556,10.25,-67.05,6.918309709,NA,"Capparis aristiguetae",1000000130
"196",1.26,9.19e-05,-2.42,10.46831956,10.25,-67.05,26.91534804,NA,"Coursetia arborea",1000000130
"197",0.98,9.63e-05,-1.77,11.37724551,10.25,-67.05,23.98832919,NA,"Lonchocarpus dipteroneurus",1000000130
"198",0.14,3.47e-05,-2.39,10.0795756,10.25,-67.05,6.760829754,0.88,"Morisonia americana",1000000130
"199",0.54,7.06e-05,-1.65,8.71559633,10.25,-67.05,15.13561248,0.6835,"Pithecellobium dulce",1000000130
"200",NA,NA,-6.3,NA,25.549,-80.3227,NA,0.897714286,"Rhizophora mangle",1000000081
"201",1.3,NA,-4.8,NA,9.166666667,-79.846036,NA,0.82,"Cassipourea guianensis",1000000081
"202",NA,NA,-0.23,NA,25.6773,-80.2724,NA,0.95,"Canella winterana",1000000063
"203",NA,NA,-1.3,16.53611836,-16.81972222,145.6453611,NA,0.5005,"Galbulimima baccata",1000000063
"204",NA,NA,-1.741,55.47445255,10.31897222,-84.79363889,NA,NA,"Hedyosmum goudotianum",1000000063
"205",NA,NA,-0.789,NA,10.02511111,-84.12533333,NA,NA,"Hedyosmum mexicanum",1000000063
"206",NA,NA,-0.615,19.48717949,-16.89933611,145.750725,NA,0.65,"Idiospermum australiense",1000000063
"207",NA,NA,-3.28,NA,29.9546,-90.0751,NA,NA,"Illicium floridanum",1000000063
"208",NA,NA,-1.253,15.66364386,-21.18247222,165.2923889,NA,NA,"Trimenia neocaledonica",1000000063
"209",NA,NA,-4.68,19.79166667,9.166666667,-79.846036,NA,0.82,"Cassipourea elliptica",1000000131
"210",NA,NA,-1.38,82.60869565,9.166666667,-79.846036,NA,0.4559375,"Schefflera morototoni",1000000132
"211",NA,NA,-1.91,NA,4.5594,114.4213,NA,0.383333333,"Agathis borneensis",1000000133
"212",NA,NA,-0.71,NA,4.5594,114.4213,NA,NA,"Aglaia glabrata",1000000133
"213",NA,NA,-0.63,43.67816092,4.66,114.52,NA,0.63,"Amyxa pluricornis",1000000133
"214",NA,NA,-1.47,NA,4.5594,114.4213,NA,0.33,"Canarium caudatum",1000000133
"215",NA,NA,-0.45,NA,4.5594,114.4213,NA,0.815,"Cotylelobium burckii",1000000133
"216",NA,NA,-0.42,74.50980392,4.66,114.52,NA,0.54,"Diospyros brachiata",1000000133
"217",NA,NA,-0.6,NA,4.5594,114.4213,NA,0.595,"Diospyros hermaphroditica",1000000133
"218",NA,NA,-0.79,105.5555556,4.66,114.52,NA,0.65,"Diospyros mindanaensis",1000000133
"219",NA,NA,-0.18,223.5294118,4.66,114.52,NA,0.7,"Dipterocarpus globosus",1000000133
"220",NA,NA,-0.26,NA,4.66,114.52,NA,0.68,"Dryobalanops aromatica",1000000133
"221",NA,NA,-0.26,200,4.66,114.52,NA,0.65,"Dryobalanops sumatrensis",1000000133
"222",NA,NA,-0.6,NA,4.5594,114.4213,NA,NA,"Eugenia ampullaria",1000000133
"223",NA,NA,-1.26,NA,4.5594,114.4213,NA,NA,"Eugenia bankensis",1000000133
"224",NA,NA,-0.54,NA,4.5594,114.4213,NA,0.87,"Eugenia muelleri",1000000133
"225",NA,NA,-1.69,43.67816092,4.66,114.52,NA,0.53,"Heritiera sumatrana",1000000133
"226",NA,NA,-6.3,NA,4.5594,114.4213,NA,NA,"Homalium moultonii",1000000133
"227",NA,NA,-0.48,NA,4.5594,114.4213,NA,0.93,"Isonandra lanceolata",1000000133
"228",NA,NA,-0.59,70.37037037,4.66,114.52,NA,0.54,"Lophopetalum subobovatum",1000000133
"229",NA,NA,-0.53,122.5806452,4.66,114.52,NA,NA,"Mallotus wrayi",1000000133
"230",NA,NA,-0.76,NA,4.5594,114.4213,NA,0.7102,"Nephelium lappaceum",1000000133
"231",NA,NA,-0.63,74.50980392,4.66,114.52,NA,0.633333333,"Payena endertii",1000000133
"232",NA,NA,-0.19,165.2173913,4.66,114.52,NA,NA,"Pentace adenophora",1000000133
"233",NA,NA,-0.2,92.68292683,4.66,114.52,NA,NA,"Santiria mollis",1000000133
"234",NA,NA,-0.37,88.37209302,4.66,114.52,NA,0.48,"Shorea faguetiana",1000000133
"235",NA,NA,-0.63,140.7407407,4.66,114.52,NA,0.426666667,"Shorea mecistopteryx",1000000133
"236",NA,NA,-0.39,158.3333333,4.66,114.52,NA,0.43,"Shorea ovalis",1000000133
"237",NA,NA,-0.86,NA,4.5594,114.4213,NA,0.51,"Sindora leiocarpa",1000000133
"238",NA,NA,-0.18,NA,4.5594,114.4213,NA,0.61,"Stemonurus umbellatus",1000000133
"239",NA,NA,-0.18,NA,4.5594,114.4213,NA,0.77,"Xerospermum laevigatum",1000000133
"240",4.2,0.00088,-3.4,NA,-15.93333333,-47.88333333,5.555,0.65,"Sclerolobium paniculatum",1000000134
"241",3.6,0.00083,-3.2,NA,-15.93333333,-47.88333333,5,0.67,"Sclerolobium paniculatum",1000000134
"242",6,0.0011,-3.4,NA,-15.93333333,-47.88333333,5.405,0.59,"Sclerolobium paniculatum",1000000134
"243",NA,NA,-3.4,NA,-15.9333,-47.8833,NA,NA,"Sclerolobium paniculatum",1000000134
"244",0.74,0.00037,-2.1,NA,21.9,101.7666667,NA,0.56,"Baccaurea ramiflora",1000000135
"245",0.74,0.00037,-2.1,NA,21.9,101.7666667,NA,0.56,"Baccaurea ramiflora",1000000135
"246",2.07,0.000633,-1.6,NA,21.9,101.7666667,NA,0.51,"Bauhinia variegate",1000000135
"247",2.07,0.000633,-1.6,NA,21.9,101.7666667,NA,0.51,"Bauhinia variegate",1000000135
"248",1.64,0.000533,-2,NA,21.9,101.7666667,NA,0.52,"Syzygium szemaoense",1000000135
"249",1.64,0.000533,-2,NA,21.9,101.7666667,NA,0.52,"Syzygium szemaoense",1000000135
"250",3.47,0.000391,-1.9,NA,21.9,101.7666667,NA,0.6,"Alphonsea monogyna",1000000084
"251",11.79,0.00098,-1.3,NA,21.9,101.7666667,NA,0.42,"Bauhinia purpurea",1000000084
"252",10.58,0.001059,-1.2,NA,21.9,101.7666667,NA,0.44,"Bauhinia variegate",1000000084
"253",7.89,0.000533,-1.2,NA,21.9,101.7666667,NA,0.44,"Bischofia javanica",1000000084
"254",4.45,0.000371,-1.3,NA,21.9,101.7666667,NA,0.47,"Castanopsis indica",1000000084
"255",3.45,0.000534,-2.1,NA,21.9,101.7666667,NA,0.62,"Celtis philippensis",1000000084
