"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"113",-1.83012,"0.572","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000006766
"114",-1.744493333,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"115",-1.925453333,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"116",-2.056493333,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"117",-2.030146667,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"118",-1.99964,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"119",-1.946946667,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"120",-1.944866667,"0.86","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007108
"121",-2.19724,"0.802","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007111
"122",-2.586893333,"0.802","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007111
"123",-2.643053333,"0.802","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007111
"124",-3.145026667,"0.802","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007111
"125",-2.333133333,"0.802","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007111
"126",-2.025986667,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"127",-1.901186667,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"128",-1.7438,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"129",-2.19932,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"130",-2.077293333,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"131",-2.138306667,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"132",-2.2222,"0.8874","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007174
"133",-2.123053333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"134",-2.06828,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"135",-1.951106667,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"136",-2.016973333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"137",-1.69804,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"138",-2.32828,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"139",-1.994786667,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"140",-2.202093333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007185
"141",-2.1598,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007250
"142",-2.262413333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007250
"143",-2.102253333,"0.88","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000007250
