"","Ptlp","WD","SLA","Organ","Biome","lon","lat","species","citation_id"
"197",-2.301080569,0.56,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Vochysia ferruginea",1000000102
"198",-1.82,0.62,NA,"Leaf","Tropical rainforest",-158.0333333,21.35,"Coffea arabica",1000000150
"199",-2.07,0.867692308,16.97792869,"Leaf","Tropical seasonal forest",-66.892248,10.495062,"Astronium graveolens",1000000151
"200",-0.69,0.305,15.31393568,"Leaf","Tropical seasonal forest",-66.892248,10.495062,"Bursera simaruba",1000000151
"201",-2.14,0.71225,19.49317739,"Leaf","Tropical seasonal forest",-66.892248,10.495062,"Sapindus saponaria",1000000151
"202",-1.49,1.043333333,22.37136465,"Leaf","Tropical seasonal forest",-66.892248,10.495062,"Tabebuia chrysantha",1000000151
"203",-2.03,0.78,NA,"Leaf","Tropical seasonal forest",-41.41666667,-22.2,"Byrsonima sericea",1000000162
"204",-3.08,0.75,NA,"Leaf","Tropical seasonal forest",-41.41666667,-22.2,"Maytenus obtusifolia",1000000162
"205",-1.88,0.47,NA,"Leaf","Tropical seasonal forest",-41.41666667,-22.2,"Ternstroemia brasiliensis",1000000162
"206",-2.06,0.607,NA,"Leaf","Tropical rainforest",-118.446152,34.068858,"Hymenosporum flavum",1000000152
"207",-1.93,0.653,13.12335958,"Leaf","Tropical seasonal forest",85.641074,27.61922,"Bauhinia variegata",1000000154
"208",-0.81,0.44,NA,"Leaf","Tropical seasonal forest",79.45,29.38333333,"Cupressus torulosa",1000000141
"209",-1.74,0.491,NA,"Leaf","Tropical seasonal forest",79.45,29.38333333,"Rhododendron arboreum",1000000141
"210",-2.04,0.73,10.23292992,"Leaf","Tropical seasonal forest",79.45,29.38333333,"Shorea robusta",1000000141
"211",-3.65,0.86,8.896797153,"Leaf","Tropical seasonal forest",-67.05,10.25,"Capparis verrucosa",1000000155
"212",-4.08,0.88,6.798096533,"Leaf","Tropical seasonal forest",-67.05,10.25,"Morisonia americana",1000000155
"213",-2.46,0.85,26.9541779,"Leaf","Tropical seasonal forest",-67.05,10.25,"Coursetia ferruginea",1000000156
"214",-2.32,0.6,24.06639004,"Leaf","Tropical seasonal forest",-67.05,10.25,"Lonchocarpus dipteroneurus",1000000156
"215",-2.51,NA,17.51313485,"Leaf","Tropical seasonal forest",-67.05,10.25,"Mansoa verrucifera",1000000156
"216",-4.08,0.6,6.638217166,"Leaf","Tropical seasonal forest",-67.05,10.25,"Morisonia americana",1000000156
"217",-1.89,0.67,NA,"Leaf","Tropical rainforest",-67.05,1.9,"Catostemma sancarlosianum",1000000157
"218",-1.97,0.61,NA,"Leaf","Tropical rainforest",-67.05,1.9,"Heteropterys sp.",1000000157
"219",-1.98,0.63,NA,"Leaf","Tropical rainforest",-67.05,1.9,"Pachira sordida",1000000157
"220",-1.95,0.61,2.818382931,"Leaf","Tropical rainforest",-67.05,1.9,"Remijia morilloi",1000000157
"221",-1.87,0.55,6.165950019,"Leaf","Tropical rainforest",-67.05,1.9,"Retiniphyllum concolor",1000000157
"222",-1.28,0.653571429,NA,"Leaf","Tropical rainforest",-67.05,1.9,"Caryocar glabrum",1000000158
"223",-1.36,NA,9.54992586,"Leaf","Tropical rainforest",-67.05,1.9,"Eperua leucantha",1000000158
"224",-1.12,NA,NA,"Leaf","Tropical rainforest",-67.05,1.9,"Micranda sprucei",1000000158
"225",-1.5,0.5105,NA,"Leaf","Tropical rainforest",-67.05,1.9,"Ocotea aciphylla",1000000158
"226",-2.04,0.535989568,35,"Leaf","Tropical rainforest",-79.85,9.15,"Alseis blackiana",1000000159
"227",-1.74,0.67,30.8,"Leaf","Tropical rainforest",-79.85,9.15,"Hybanthus prunifolius",1000000159
"228",-1.41,0.62,14.7,"Leaf","Tropical rainforest",-79.85,9.15,"Licania platypus",1000000159
"229",-1.84,0.726990909,12.3,"Leaf","Tropical rainforest",-79.85,9.15,"Ouratea lucens",1000000159
"230",-1.86,0.56362,23.1,"Leaf","Tropical rainforest",-79.85,9.15,"Psychotria horizontalis",1000000159
"231",-1.88,0.841537052,15.7,"Leaf","Tropical rainforest",-79.85,9.15,"Swartzia simplex",1000000159
