"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"70",70,"HYMENEA COURBARIL",NA,FALSE,"Hymenaea courbaril",27020,TRUE,"iPlant_TNRS","0.98",NA,"http://www.tropicos.org/Name/13005950",7
"71",71,"INGA VERA",704,TRUE,"Inga vera",704,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13021418",1
"72",72,"IPOMOEA WOLCOTTIANA",1000006740,TRUE,"Ipomoea wolcottiana",1000006740,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/8502130",1
"73",73,"KIELMEYERA CORIACEA",50498,FALSE,"Kielmeyera coriacea",50498,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/7801213",2
"74",74,"KLEINHOVIA HOSPITA",44340,TRUE,"Kleinhovia hospita",44340,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/93784",1
"75",75,"LAGERSTROEMIA TOMENTOSA",1000007008,TRUE,"Lagerstroemia tomentosa",1000007008,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/19200388",1
"76",76,"LAGUNCULARIA RACEMOSA",746,TRUE,"Laguncularia racemosa",746,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/8200077",1
"77",77,"LONCHOCARPUS MUEHLBERGIANUS",NA,FALSE,"Dahlstedtia muehlbergiana",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/185720",12
"78",78,"LUEHEA SEEMANNII",50567,TRUE,"Luehea seemannii",50567,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/45194",1
"79",79,"MACLURA TINCTORIA",39582,TRUE,"Maclura tinctoria",39582,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681456",1
"80",80,"MANILKARA BIDENTATA",43171,TRUE,"Manilkara bidentata",43171,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/597317",1
"81",81,"MANILKARA CHICLE",1000007816,TRUE,"Manilkara chicle",1000007816,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/28700413",1
"82",82,"MICONIA ARGENTEA",50624,TRUE,"Miconia argentea",50624,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/20302666",1
"83",83,"MICONIA CUSPIDATA",1000008327,TRUE,"Miconia cuspidata",1000008327,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/20301030",1
"84",84,"MICONIA POHLIANA",NA,FALSE,"Miconia leucocarpa",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/20301140",12
"85",85,"MORISONIA AMERICANA",13503,TRUE,"Morisonia americana",13503,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/202639",1
"86",86,"MYRIOCARPA LONGIPES",50648,TRUE,"Myriocarpa longipes",50648,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/33400494",1
"87",87,"MYROSPERMUM FRUTESCENS",17254,TRUE,"Myrospermum frutescens",17254,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/100153",1
"88",88,"MYRSINE FERRUGINEA",NA,FALSE,"Myrsine ferruginea",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/85893",11
"89",89,"MYRSINE GUIANENSIS",1000009201,TRUE,"Myrsine guianensis",1000009201,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/22000930",1
"90",90,"OCHROMA PYRAMIDALE",25655,TRUE,"Ochroma pyramidale",25655,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/3900204",1
"91",91,"OCOTEA DIOSPYRIFOLIA",NA,FALSE,"Ocotea diospyrifolia",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/881600",11
"92",92,"OURATEA LUCENS",1000009869,TRUE,"Ouratea lucens",1000009869,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681473",1
"93",93,"PARAPIPTADENIA RIGIDA",NA,FALSE,"Parapiptadenia rigida",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/148713",11
"94",94,"PIPER RETICULATUM",24509,TRUE,"Piper reticulatum",24509,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/25001139",1
"95",95,"PISCIDIA CARTHAGENENSIS",25287,TRUE,"Piscidia carthagenensis",25287,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13031807",1
"96",96,"PITHECELLOBIUM DULCE",25660,TRUE,"Pithecellobium dulce",25660,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13012638",1
"97",97,"PITTONIOTIS TRICHANTHA",1000011255,TRUE,"Pittoniotis trichantha",1000011255,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/336028",1
"98",98,"POUROUMA BICOLOR",1000011418,TRUE,"Pourouma bicolor",1000011418,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/21301041",1
"99",99,"PRIORIA COPAIFERA",50795,TRUE,"Prioria copaifera",50795,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13044814",1
"100",100,"PROTIUM PANAMENSE",1000011665,TRUE,"Protium panamense",1000011665,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/4700236",1
"101",101,"PSEUDOBOMBAX SEPTENATUM",50836,TRUE,"Pseudobombax septenatum",50836,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/3900261",1
"102",102,"PSIDIUM SARTORIANUM",1000011797,TRUE,"Psidium sartorianum",1000011797,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/22102112",1
"103",103,"QUALEA PARVIFLORA",1000012111,TRUE,"Qualea parviflora",1000012111,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/34100163",1
