"","submit_name","genus","species","bety_id","in_PFT","case","uri","scientificname"
"117","HOLOCALYX BALANSAE","Holocalyx","balansae",1000020867,TRUE,11,"http://www.tropicos.org/Name/13020477","Holocalyx balansae"
"118","HYMENAEA MARTIANA","Hymenaea","martiana",1000020868,TRUE,11,"http://www.tropicos.org/Name/13020516","Hymenaea martiana"
"119","LONCHOCARPUS MUEHLBERGIANUS","Lonchocarpus","muehlbergianus",1000020869,TRUE,11,NA,"Lonchocarpus muehlbergianus"
"120","OCOTEA DIOSPYRIFOLIA","Ocotea","diospyrifolia",1000020870,TRUE,11,"http://www.tropicos.org/Name/17803863","Ocotea diospyrifolia"
"121","PARAPIPTADENIA RIGIDA","Parapiptadenia","rigida",1000020871,TRUE,11,"http://www.tropicos.org/Name/13011305","Parapiptadenia rigida"
"122","SCHEFFLERA MACROCARPA","Schefflera","macrocarpa",1000020872,TRUE,11,"http://www.tropicos.org/Name/50254555","Schefflera macrocarpa"
"123","SEMIALARIUM MEXICANUM","Semialarium","mexicanum",1000020873,TRUE,11,"http://www.tropicos.org/Name/15600396","Semialarium mexicanum"
"124","STYRAX FERRUGINEUS","Styrax","ferrugineus",1000020874,TRUE,11,"http://www.tropicos.org/Name/30800015","Styrax ferrugineus"
"125","STYRAX POHLII","Styrax","pohlii",1000020875,TRUE,11,"http://www.tropicos.org/Name/30800040","Styrax pohlii"
"126","SYMPLOCOS LANCEOLATA","Symplocos","lanceolata",1000020876,TRUE,11,"http://www.tropicos.org/Name/30900096","Symplocos lanceolata"
"127","SYMPLOCOS MOSENII","Symplocos","mosenii",1000020877,TRUE,11,NA,"Symplocos mosenii"
"128","VOCHYSIA THYRSOIDEA","Vochysia","thyrsoidea",1000020878,TRUE,11,"http://www.tropicos.org/Name/50184812","Vochysia thyrsoidea"
"129","HYMENAEA STIGNOCARPA","Hymenaea","stigonocarpa",1000020879,TRUE,12,"http://www.tropicos.org/Name/13020524","Hymenaea stigonocarpa"
"130","MICONIA POHLIANA","Miconia","leucocarpa",1000020880,TRUE,12,"http://www.tropicos.org/Name/20301140","Miconia leucocarpa"
"131","MYRSINE FERRUGINEA","Myrsine","coriacea",1000020881,TRUE,12,"http://www.tropicos.org/Name/50096857","Myrsine coriacea subsp. coriacea"
