Species,Ptlp,WD,SLA,Organ,Ref,Biome,Long,Lat
vouacapoua americana,-2.499533333,0.793625,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
vouacapoua americana,-2.048866667,0.793625,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
vouacapoua americana,-2.104333333,0.793625,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
vouacapoua americana,-2.063426667,0.793625,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
vouacapoua americana,-1.907426667,0.793625,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
vouacapoua americana,-2.256866667,0.793625,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
anacardium excelsum,-0.995,0.384560171,10.78134125,Leaf,"McCulloh et al. 2012",Tropical rainforest,-79,9
miconia argentea,-1.81,0.541821562,NaN,Leaf,"McCulloh et al. 2012",Tropical rainforest,-79,9
aspidosperma cruenta,-2.782178,0.74,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
chrysophllum cainito,-2.900261354,0.66,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-79.54694444,8.98561944
ficus insipida,-2.038259321,0.4,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-79.54694444,8.98561944
manilkara bidentata,-3.051426366,0.67,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
protium panamense,-2.662673758,0.62,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
tachigalia versicolor,-2.341414674,0.64,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
tapirira guianensis,-2.188606647,0.5,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
trattinnickia aspera,-2.53675004,0.57,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
vochysia ferruginea,-2.301080569,0.56,NaN,Leaf,"Meinzer et al 2008",Tropical rainforest,-80.001385,9.322863
coffea arabica,-1.82,0.62,NaN,Leaf,"Meinzer et al. 1990",Tropical rainforest,-158.0333333,21.35
